Customer ID,Date of Last Purchase,Number of Transactions in Last 30 Days,Total Spend in Last 30 Days,Frequent Product Categories,Response to Marketing Campaigns
726dadbe-6d54-4a66-9258-5af1fd59ea2f,2025-02-01,17,1067.91,"Books, Clothing, Health & Beauty",Opened
0ddf4b48-deb4-4a1b-91cc-7dd474f35e78,2025-02-02,13,1423.26,"Groceries, Furniture",Converted
a87f7f48-a7c8-4009-8b75-b988f5dc89ec,2025-02-02,4,1613.97,Sports,Converted
f35194aa-449e-4512-a824-dbb15329319a,2025-02-02,8,92.51,"Health & Beauty, Clothing",Converted
0a876d17-7280-4417-8b78-289c5520a652,2025-02-03,19,966.42,Health & Beauty,Ignored
0ef1ca07-b74c-49c7-8e24-262f964f0662,2025-02-01,3,611.08,"Furniture, Electronics, Sports",Ignored
f249e2ae-891e-409d-ab82-6545c549ea52,2025-02-02,7,109.84,"Groceries, Books",Ignored
bfb8e6ed-3f64-4d2e-a9b2-00702afe64c7,2025-02-03,1,1235.58,"Clothing, Groceries, Electronics",Clicked
a71d3d3a-6be3-4b59-9aa1-1ddb4a705cb6,2025-02-01,19,857.67,Books,Opened
380c20cc-333f-460f-a8d3-eb17591aa220,2025-02-02,14,131.37,Books,Ignored
6e061c9c-36f4-4bd2-8247-88aaf168599f,2025-02-03,2,1680.31,"Books, Furniture, Clothing",Converted
ab9a34aa-f1a1-4b38-bfc2-8f3bb37ca1f4,2025-02-03,12,865.55,Groceries,Clicked
4d0aab16-e887-4ae7-8c77-021c76a0f638,2025-02-02,1,398.06,"Toys, Furniture",Converted
12efcec9-bb16-438b-9471-1f96abe0b299,2025-02-03,1,1339.77,"Furniture, Books",Opened
9e846d07-0de6-4c85-92bc-2ccba3f5e495,2025-02-01,4,1960.77,"Electronics, Groceries, Health & Beauty",Ignored
3da48acd-e45d-419f-9bd7-bd612dd7136d,2025-02-03,13,988.89,Electronics,Ignored
cd428acb-1b45-44a6-80af-b3f590442973,2025-02-01,16,1750.38,"Clothing, Health & Beauty, Groceries",Clicked
123c47bb-7c6b-491c-86a0-91a92a6f61c3,2025-02-01,12,1943.29,"Toys, Clothing, Health & Beauty",Clicked
acd8879b-34e3-42e7-920d-f6bb3bc3ad59,2025-02-03,2,139.62,Furniture,Clicked
ccb6b5bb-0c06-450e-992f-fa18a4f1cafc,2025-02-03,16,1561.91,"Health & Beauty, Books, Furniture",Opened
f49767cd-0dc9-4839-9561-acc5ae6c2a06,2025-02-03,18,786.79,"Electronics, Toys",Clicked
5b00f4f8-5b31-4548-a38a-22b482e2369a,2025-02-02,7,1429.98,"Electronics, Health & Beauty",Converted
3976c2c7-ec48-4a94-8346-a4c26474e5d9,2025-02-02,17,522.31,"Clothing, Toys",Opened
0a96e07b-648f-4c9b-b30d-eb3307e720b6,2025-02-03,8,1040.13,"Health & Beauty, Toys, Furniture",Ignored
70c247d7-750c-4035-a1c6-313f46e6dd45,2025-02-02,11,381.14,"Clothing, Electronics",Ignored
fc98600a-160f-4465-a02c-026393068326,2025-02-01,17,163.58,"Toys, Sports",Converted
1a6d5aa2-de3e-4884-91b7-10293ae775c0,2025-02-02,20,921.72,"Health & Beauty, Groceries, Sports",Ignored
e315cf83-f532-4f19-9e4f-0450405c3c8c,2025-02-02,16,1846.04,Books,Ignored
c15c357f-d07d-4f57-b411-b8208ee69917,2025-02-01,19,331.34,Groceries,Ignored
05d5d375-fa75-4803-9882-8ae1f5ff07f8,2025-02-03,8,1825.16,Electronics,Converted
25f4f469-093e-4d3e-be5b-981e263fd4ec,2025-02-03,18,958.18,"Toys, Clothing",Converted
a0dd52db-f9e2-468e-8356-02f3a57acc55,2025-02-03,5,647.01,Toys,Ignored
87b59cb1-3066-474e-831b-d5c1b3d29e00,2025-02-03,16,460.39,Books,Ignored
5fc54a30-3e1a-40c2-8b58-1602e1135262,2025-02-03,18,1340.91,"Sports, Groceries",Clicked
578b9a00-899e-4559-825d-515cb5f40efe,2025-02-02,17,1841.22,"Electronics, Sports, Toys",Ignored
b1079f25-4011-49f5-981f-266743ab9648,2025-02-02,7,284.42,Sports,Opened
57671d2c-e115-4e19-a1f4-1c653be1d38b,2025-02-02,15,1582.31,"Books, Electronics, Sports",Clicked
fd9d2f71-0a1f-4b4c-91c0-558bf321333c,2025-02-01,5,349.82,Books,Ignored
092b6c96-e425-4bab-9510-24c792948339,2025-02-03,8,1731.57,Electronics,Ignored
3e8b0c5d-ada4-4c6a-99e3-3edeebb1fb1f,2025-02-03,11,523.34,"Toys, Electronics, Health & Beauty",Converted
34852cd4-28a0-46f9-a5bf-7b69f7b66b95,2025-02-01,19,1477.68,Books,Opened
bb885742-90df-4922-ac42-24b97b3f7b4a,2025-02-01,14,989.17,"Sports, Books, Groceries",Converted
