Customer ID,Credit Score,Loan Type,Loan Amount,Loan Status,Application Date,Decision Date
c2967c4a-1574-4ff4-a7aa-a7542f72386d,524,Home,404455.93,Pending,2025-02-02,
00144263-2909-44a7-a699-55ba2926baa8,414,Home,362636.66,Rejected,2025-02-02,2025-02-13
af6f4e8f-3309-4629-9811-e81e6da3a803,795,Auto,26696.77,Approved,2025-02-03,2025-02-15
591c950e-f31e-49b3-9e64-7b339ea425bb,374,Business,49127.48,Rejected,2025-02-01,2025-02-07
10622493-5cbb-43cc-abc0-06a4ab62860e,646,Auto,22180.56,Rejected,2025-02-01,2025-02-04
15cd83cd-b28b-478e-81ff-2067fc8c33ca,560,Auto,44649.56,Rejected,2025-02-01,2025-02-13
a69b115b-651e-42d7-9db9-791c5595450e,374,Student,25663.09,Pending,2025-02-02,
62e726d8-1e85-4a04-890f-4a1004464e62,786,Home,217671.85,Rejected,2025-02-03,2025-02-12
59149970-4765-4e20-8dfa-8d2688b746b5,387,Personal,36976.63,Pending,2025-02-02,
3a8379c2-2cc6-4810-9f70-3dbe84a6544b,339,Personal,23468.51,Pending,2025-02-02,
e783f897-216c-4ca5-b217-14b894e56cae,602,Personal,15195.23,Rejected,2025-02-01,2025-02-04
f022d1d3-ac32-4437-bb52-7953062a2fd6,450,Business,142955.45,Pending,2025-02-01,
25e07d61-4e0c-447c-8f7d-56a4c425110f,542,Home,120084.9,Rejected,2025-02-03,2025-02-14
9615fe33-5119-4a97-9719-5b1e9c0a96cc,831,Personal,31146.54,Pending,2025-02-02,
ee1328be-a572-438b-8830-5b8dbd6562a7,337,Student,25684.96,Rejected,2025-02-03,2025-02-14
7a78c112-ac51-4f65-bb05-e5341a310dee,558,Personal,35602.8,Pending,2025-02-02,
19abd249-8a58-4650-ba3c-17d81a2ee8ad,668,Home,323289.18,Approved,2025-02-02,2025-02-02
29ce07c8-787b-4b3c-ae11-f152952309f7,612,Auto,46083.97,Rejected,2025-02-01,2025-02-05
870c2550-fb48-40fc-a831-0059ced0d65d,772,Business,77176.98,Rejected,2025-02-01,2025-02-08
8a51ec87-4f5b-42b3-8b2a-992361c74e7e,728,Personal,39117.71,Rejected,2025-02-02,2025-02-15
1d9deab1-4600-48c8-a3f3-d854ef19790c,612,Home,410105.78,Approved,2025-02-02,2025-02-03
d022217b-4add-4148-8fc7-086719735fa4,791,Business,63165.1,Pending,2025-02-01,
b97b6f6a-b11e-42fb-b120-a10a9ef96e2a,850,Home,382625.71,Rejected,2025-02-03,2025-02-12
b0b5eb90-793c-4b6b-ac33-28dc213f32fb,710,Business,20348.54,Pending,2025-02-01,
6eb668c2-6576-4b0a-a25f-1940ef04ec86,302,Auto,27722.1,Pending,2025-02-03,
580c9dc6-1caa-4e74-a13c-e99eee40cbc0,401,Auto,38724.92,Rejected,2025-02-03,2025-02-16
994ee4b9-2b00-4bc1-bce3-39a720d3f14d,815,Home,162189.17,Pending,2025-02-03,
feb45f6f-4d3d-4fb3-8096-2f1b06c5dcc0,763,Student,16723.26,Approved,2025-02-01,2025-02-02
c63717b3-161a-4413-be46-bf9c894f1d3a,505,Auto,40851.76,Approved,2025-02-02,2025-02-04
26934c44-2818-4b6a-9233-c0c535e0179a,465,Business,85788.71,Pending,2025-02-03,
f58fb611-5018-49ec-89d8-bfbe619723a4,622,Home,234836.78,Pending,2025-02-03,
