Customer ID,Survey ID,Date of Survey Submission,Survey Questions,Rating Scores,Comments/Feedback
3e7aad55-77c1-4816-8c62-7448d416b7b5,9f3aadd0-2ebe-416c-b87c-665a27fa398a,2025-02-01,"How likely are you to recommend our product?, How satisfied are you with the delivery speed?","2, 4",Usually after system another general run thank what almost sister less by know.
6557fac1-6d62-42b0-9eaa-1c24ec574309,e84f1f24-173a-4ce4-b7e6-9048eaac134c,2025-02-03,"How likely are you to recommend our product?, How easy was it to use our website/app?, How satisfied are you with the delivery speed?","5, 2, 5",Company action receive act loss.
a90ffeb8-bc85-426f-a58e-740c54d62847,e04d43a2-6043-4c47-ad9e-22fdd6a08f91,2025-02-01,"How easy was it to use our website/app?, How satisfied are you with the delivery speed?, How would you rate the quality of our product?","5, 4, 1",Western ability adult water law interview administration point agreement near.
82c6edf3-bbba-4268-a8aa-dfb8f05ec5a9,0c902754-bb08-4b15-a897-355cf7f02001,2025-02-03,How would you rate the quality of our product?,5,Floor avoid offer else professional customer light ask under again real politics study available forget check few easy finish teacher knowledge.
7e366e32-605c-4f1f-9ade-32d862279876,cda98823-39a7-4d06-9ac2-4778ac430ccc,2025-02-01,"How satisfied are you with the service?, How would you rate the quality of our product?","1, 5",Be chair guy pick across off.
b5612766-455a-41c8-9ebc-0f4e73f5d255,e59ee3bb-bca0-4d16-9e6a-bc349c0c1710,2025-02-03,How likely are you to recommend our product?,5,American just piece family clear everyone beautiful wide interest health bad.
1e99bb67-67d2-4c6e-86e9-027e9be33018,94455d57-240e-42eb-8f46-f6ce0f8c58c6,2025-02-03,"How likely are you to recommend our product?, How easy was it to use our website/app?","1, 1",Type better hair dream citizen race beautiful environment everything.
43039586-df17-41b4-a363-c156f4becd7b,f77cc7f6-62f8-4266-b286-d66f2b97fc48,2025-02-02,"How easy was it to use our website/app?, How satisfied are you with the service?, How would you rate the quality of our product?","5, 5, 3",Relationship history go beautiful moment teacher able population down the soon economy operation store indeed compare.
4919f2a2-565b-4980-a4f0-366e416d590f,828e246e-3c74-42ad-880e-9814d801a72e,2025-02-02,"How would you rate the quality of our product?, How likely are you to recommend our product?, How satisfied are you with the delivery speed?","2, 3, 2",Recently speak enter wonder enjoy fact turn know suddenly leave who religious hair ball culture north.
5a9aa010-98c3-486a-a39a-b695da8caa22,8b3e9f6f-ae25-414f-ae64-97c57939bbda,2025-02-02,"How easy was it to use our website/app?, How likely are you to recommend our product?, How would you rate the quality of our product?","1, 1, 4",Safe federal information show same main cell scientist drug budget skin here.
