Customer ID,Social Media Platform,Post Type,Post Date & Time,Sentiment Score,Engagement Level
058c514c-b0af-4210-be91-ea82e4d32d11,LinkedIn,Like,2025-02-03 20:47:48,Neutral,673
372c496c-cbfe-42d1-aa6c-379c7f1f8de0,Twitter,Like,2025-02-01 17:45:33,Positive,212
9cbb4396-2e9a-4f9d-bb24-1fa39c568b5d,Twitter,Share,2025-02-03 01:15:05,Positive,919
8056f33a-b4d3-42b3-afda-ad4c53f5a80d,LinkedIn,Share,2025-02-03 21:37:45,Negative,637
22e93cb0-f4fe-4da0-8551-5a83404d3730,TikTok,Share,2025-02-01 20:52:25,Positive,199
548fc893-8fd5-42f2-b835-4d682f37eb5d,Twitter,Like,2025-02-03 01:17:30,Positive,6
3db4fccb-724a-47a4-9a03-f82581516385,Facebook,Comment,2025-02-03 18:38:14,Neutral,797
59d65fa5-95c7-4326-92aa-f98d591f48fb,LinkedIn,Share,2025-02-02 07:46:10,Negative,184
d51f4af7-6e64-4d7d-8c83-e149e5866e2f,TikTok,Comment,2025-02-01 19:37:29,Neutral,716
dc3dfc5d-6823-4610-8da5-4106022f8589,Twitter,Share,2025-02-02 04:46:48,Negative,610
99443f29-abf9-4f43-8033-0ef8c2922c6f,LinkedIn,Like,2025-02-02 20:36:04,Neutral,1000
d37e76cc-4271-4279-8e42-450296f8bfae,Twitter,Like,2025-02-02 04:10:50,Neutral,293
78d7ed4a-82ba-4400-b5c8-a47e42e85344,TikTok,Share,2025-02-01 22:55:12,Negative,255
8232fc25-e4c3-4c8d-bd6b-a62cbd5defd0,TikTok,Like,2025-02-02 19:38:43,Neutral,199
201516e5-7525-4b29-93c7-6e52536c2239,LinkedIn,Share,2025-02-03 11:17:20,Negative,496
5726ed7f-b537-4a3f-8492-ef27a535361d,LinkedIn,Share,2025-02-01 03:28:42,Negative,562
09c38151-2dce-4fbd-a8ae-2c274f1778b6,TikTok,Like,2025-02-03 10:38:11,Positive,700
b6523331-d261-4bb9-8895-7588216548a7,Twitter,Share,2025-02-02 03:34:14,Positive,150
dc12dc7a-03bb-40ec-bb1c-def191c0900c,LinkedIn,Comment,2025-02-01 00:19:30,Positive,751
cf65783a-05cb-435d-81ab-882c5f46c3a4,Instagram,Comment,2025-02-01 07:18:20,Neutral,33
5e6d5802-327e-4870-a3b5-1fd9e44b41db,TikTok,Comment,2025-02-02 01:33:16,Positive,724
6e89ceb4-21bd-41f1-b600-e4140804faef,TikTok,Share,2025-02-02 14:31:34,Negative,555
99a07f47-1d96-41b4-872e-c1c9ad5ce9ac,Facebook,Share,2025-02-02 22:53:17,Negative,400
bbd6ead1-a335-458f-adb3-a5fb7997e903,Instagram,Share,2025-02-02 09:04:40,Negative,587
001c724f-48bd-4abc-aed4-7449594b212f,Facebook,Share,2025-02-01 11:49:15,Negative,134
c4afe4c9-a62b-42ad-b721-e21a9b53c43d,LinkedIn,Like,2025-02-01 23:52:56,Positive,233
6b94a093-ee87-4924-8d21-43158c010d04,Facebook,Comment,2025-02-02 18:33:16,Negative,849
7d136244-2bd7-413f-9854-0ae4042d843e,TikTok,Share,2025-02-01 16:50:36,Positive,830
