Ticket ID,Customer ID,Ticket Creation Date,Ticket Status,Issue Category,Assigned Agent ID,Resolution Date,Customer Rating,Issue Description
1,CUST0144,2025-01-11,Closed,Account Info,AGENT10,2025-01-18,3,Ten run when also treatment item bill two she together.
2,CUST0122,2025-01-29,Closed,Technical Issue,AGENT43,2025-02-04,4,What prove light air tell.
3,CUST0844,2025-02-03,Open,Billing,AGENT49,,,Decade term require daughter nearly knowledge can.
4,CUST0529,2025-01-26,Open,Technical Issue,AGENT24,,,Site opportunity front up sort family.
5,CUST0178,2025-01-20,Pending,Technical Issue,AGENT48,,,Very charge throughout strategy law half civil west answer money.
6,CUST0920,2025-02-01,Pending,Technical Issue,AGENT04,,,Sometimes because often year consider wrong open like.
7,CUST0670,2025-01-24,Open,Technical Issue,AGENT06,,,Television base consider author interesting trade somebody hit.
8,CUST0609,2025-01-17,Pending,Billing,AGENT49,,,First response in analysis success standard available friend outside management.
9,CUST0754,2025-01-30,Open,Technical Issue,AGENT11,,,Hope measure population write street this.
10,CUST0397,2025-01-03,Pending,Account Info,AGENT26,,,Human size into husband quickly social plant task suggest music inside.
11,CUST0596,2025-01-05,Pending,Billing,AGENT41,,,Per rise everything so himself school today hour able usually able.
12,CUST0241,2025-01-25,Open,Account Info,AGENT37,,,Spring far fire performance strategy camera after federal.
13,CUST0727,2025-01-28,Open,Technical Issue,AGENT48,,,Catch series message simply high kind get.
14,CUST0146,2025-01-16,Open,Account Info,AGENT38,,,Picture message style myself you picture direction staff.
15,CUST0477,2025-01-27,Open,Billing,AGENT21,,,Happen live son unit live character whether crime carry education.
16,CUST0038,2025-01-06,Pending,Billing,AGENT07,,,Simply impact far prepare produce news.
17,CUST0576,2025-01-27,Open,Billing,AGENT42,,,Smile sport staff their politics suffer yard huge information nation.
18,CUST0821,2025-01-11,Open,Billing,AGENT42,,,Push remember whom happen sea although low.
19,CUST0336,2025-01-25,Closed,Technical Issue,AGENT32,2025-01-28,1,Job our different within heart save husband stay may along.
20,CUST0333,2025-01-12,Closed,Billing,AGENT29,2025-01-13,1,Always final data what even foot.
21,CUST0514,2025-01-28,Open,Billing,AGENT50,,,Technology mention compare movement international American provide your born whom.
22,CUST0192,2025-01-02,Open,Billing,AGENT31,,,Measure mouth relate night industry which.
23,CUST0326,2025-01-29,Pending,Account Info,AGENT49,,,Fall special structure as describe owner into body.
24,CUST0635,2025-01-31,Open,Billing,AGENT11,,,Arm sort newspaper catch skill home teach.
25,CUST0071,2025-01-28,Closed,Account Info,AGENT23,2025-02-02,3,Try contain person first return attorney fine.
26,CUST0873,2025-01-10,Open,Billing,AGENT38,,,Close every our page rule oil onto idea customer.
27,CUST0019,2025-01-20,Pending,Account Info,AGENT17,,,Finish degree rise it tree board turn stand.
28,CUST0933,2025-01-14,Open,Technical Issue,AGENT50,,,Management ready subject manage inside study available their system west.
29,CUST0352,2025-01-14,Pending,Account Info,AGENT40,,,Pick meet party second place others.
30,CUST0657,2025-01-20,Closed,Billing,AGENT44,2025-01-29,3,Major laugh throughout rather reflect represent protect gun around especially.
31,CUST0992,2025-01-11,Pending,Technical Issue,AGENT20,,,Step care party tough better sing believe sometimes finish whether.
