Customer ID,App Version,Device Type,Pages Visited,Time Spent on Each Page (in minutes),Date & Time of Login,"Clicks (Product searches, transactions initiated)",Session Duration (in minutes)
dd90c3d2-9d6d-4078-b3ef-b081cbe1666a,1.0.0,Tablet,"['cart', 'checkout', 'login', 'settings']","[2.73, 3.89, 1.52, 3.48]",2025-02-03 22:53:52,8,29.9
db786e76-e92c-43f8-8664-9e059aedb4d1,2.1.0,Mobile,"['profile', 'help', 'login', 'contact']","[3.38, 3.91, 1.85, 4.7]",2025-02-01 16:11:02,5,11.18
fbc5c788-5a40-480f-b4d6-ccace8e654be,2.0.0,Mobile,"['cart', 'home']","[4.29, 4.75]",2025-02-01 18:43:21,10,20.22
a99e7343-5316-4645-aca1-0f8386829456,1.0.0,Tablet,"['home', 'products', 'cart']","[4.28, 3.85, 1.68]",2025-02-01 18:30:20,10,10.83
39b182d0-5e55-4806-8452-bab59c3b20bd,1.0.0,Tablet,"['settings', 'login']","[4.46, 2.74]",2025-02-02 11:24:52,8,16.06
eb297453-98d0-4e68-8bcf-3adaeb6365a4,2.1.0,Mobile,['contact'],[2.55],2025-02-02 04:13:15,2,23.11
b5a32157-27d3-4597-a5f7-d9324751b794,2.0.0,Mobile,"['products', 'profile', 'settings', 'about', 'cart']","[3.01, 1.77, 2.27, 3.83, 3.57]",2025-02-02 01:26:43,2,18.65
c881a35f-5879-4870-8848-f4ab74d60397,1.0.0,Mobile,"['contact', 'cart', 'login', 'home']","[3.36, 2.2, 2.18, 2.6]",2025-02-03 05:48:43,3,29.68
9a525ca5-4094-45e0-906c-dc990b0243ca,1.1.0,Desktop,['contact'],[2.47],2025-02-01 20:02:05,7,18.9
03924016-65ea-4d82-a4be-50120b9cec44,1.1.0,Mobile,"['checkout', 'login', 'contact']","[1.42, 2.23, 2.19]",2025-02-03 03:34:26,8,14.04
b97c3ae4-6994-4521-8716-e98fb43e21bc,2.0.0,Desktop,"['login', 'settings']","[1.85, 4.33]",2025-02-03 06:41:02,1,5.07
5a12e978-3863-443c-9a36-066a2a6721c5,1.1.0,Tablet,['home'],[1.58],2025-02-03 15:35:41,9,29.81
5aaa32e8-7458-48a7-8d42-4637fd2da6af,1.2.0,Desktop,['settings'],[3.96],2025-02-02 03:18:39,2,29.21
d8eb525f-8d25-4d0f-a268-52b5d28cd775,1.0.0,Tablet,"['about', 'settings', 'cart', 'home']","[3.84, 1.94, 1.96, 1.11]",2025-02-02 19:07:15,7,16.97
14120b82-8bae-4833-98b8-291319b9015e,2.0.0,Desktop,"['products', 'home', 'help', 'profile']","[3.84, 3.36, 4.23, 3.33]",2025-02-01 23:39:01,1,10.08
28457d52-5d0a-4447-ad07-21a45524b1f7,2.1.0,Tablet,"['help', 'home']","[1.41, 3.41]",2025-02-01 20:39:04,6,12.52
99503024-3971-42bd-a618-d3875b042f27,2.1.0,Mobile,"['home', 'cart']","[3.9, 2.52]",2025-02-02 19:01:08,8,7.38
35e82207-ac84-4163-a5ad-bb333a613bff,2.0.0,Desktop,"['cart', 'settings', 'home']","[4.28, 3.27, 3.67]",2025-02-01 02:40:45,10,28.94
